City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,enshi,30.3,109.4833,288.82,76,100,0.54,CN,1680224705
243,kirovo-chepetsk,58.5539,50.0399,274.68,84,100,5.27,RU,1680224706
244,noyabrsk,63.1994,75.4507,248.15,100,52,1.57,RU,1680224706
245,codrington,-38.2667,141.9667,288.43,77,100,5.33,AU,1680224706
246,kidal,18.4411,1.4078,298.24,9,0,6.88,ML,1680224706
247,husavik,66.0449,-17.3389,276.86,86,100,7.97,IS,1680224229
248,vardo,70.3705,31.1107,265.14,93,75,4.12,NO,1680224534
249,monrovia,6.3005,-10.7969,298.02,86,13,1.09,LR,1680224707
250,ternate,0.8,127.4,301.42,72,46,1.3,ID,1680224361
251,macklin,52.3334,-109.9348,270.34,91,100,3.47,CA,1680224707
252,ginir,7.1333,40.7,287.98,79,62,1.93,ET,1680224707
253,bonavista,48.6499,-53.1147,271.26,87,25,4.52,CA,1680224307
254,bom jesus,-9.0744,-44.3586,297.2,71,96,0.92,BR,1680224473
255,ucluelet,48.9329,-125.5528,281.32,82,100,3.65,CA,1680224411
256,halifax,44.6453,-63.5724,272.15,81,75,8.23,CA,1680224707
257,port hardy,50.6996,-127.4199,281.25,61,75,2.57,CA,1680224422
258,paita,-5.0892,-81.1144,300.24,77,97,4.08,PE,1680224708
259,sartana,47.1744,37.6927,279.18,100,100,7.01,UA,1680224708
260,brazzaville,-4.2658,15.2832,294.94,94,100,1.18,CG,1680224708
261,masuguru,-11.3667,38.4167,294.89,99,88,0.69,TZ,1680224557
262,tautira,-17.7333,-149.15,300.32,71,48,1.67,PF,1680224563
263,mayumba,-3.432,10.6554,298.35,87,100,1.58,GA,1680224708
264,seddon,-37.8068,144.8916,292.35,65,75,7.2,AU,1680224709
265,dungarvan,52.0881,-7.6253,283.83,100,100,1.34,IE,1680224709
266,sechura,-5.5569,-80.8222,299.22,85,73,4.42,PE,1680224556
267,marsabit,2.3284,37.9899,293.58,64,95,2.11,KE,1680224709
268,la ciotat,43.1748,5.6045,284.71,89,100,1.02,FR,1680224709
269,margate,51.3813,1.3862,283.65,90,100,4.02,GB,1680224330
270,turbat,26.0023,63.044,296.34,49,1,0.24,PK,1680224709
271,outlook,51.5001,-107.0513,269.95,95,100,3.56,CA,1680224438
272,geraldton,-28.7667,114.6,296.38,78,0,6.17,AU,1680224286
273,gadsden,34.0143,-86.0066,293.12,62,0,1.54,US,1680224710
274,sao joao da barra,-21.6403,-41.0511,299.2,88,100,6.73,BR,1680224284
275,nanortalik,60.1432,-45.2371,266.59,84,4,1.04,GL,1680224316
276,todos santos,23.45,-110.2167,293.95,75,4,3.09,MX,1680224710
277,poum,-20.2333,164.0167,300.05,79,5,7.81,NC,1680224288
278,mehamn,71.0357,27.8492,265.1,92,40,7.2,NO,1680224257
279,srednekolymsk,67.45,153.6833,266.7,84,97,3.71,RU,1680224711
280,walvis bay,-22.9575,14.5053,287.12,95,2,1.49,NA,1680224711
281,pervomayskiy,53.2485,40.2871,277.58,97,100,5.56,RU,1680224711
282,moron,-34.6534,-58.6198,294.81,82,27,2.5,AR,1680224712
283,viedma,-40.8135,-62.9967,286.87,52,96,6.35,AR,1680224568
284,aklavik,68.2191,-135.0107,261.78,84,99,5.11,CA,1680224310
285,vestmannaeyjar,63.4427,-20.2734,278.72,87,100,6.19,IS,1680224302
286,alice springs,-23.7,133.8833,288.9,94,75,4.63,AU,1680224325
287,tessalit,20.1986,1.0114,297.71,9,0,6.09,ML,1680224286
288,pimentel,-6.8367,-79.9342,297.31,94,100,3.09,PE,1680224713
289,saint-augustin,51.226,-58.6502,271.43,89,58,1.47,CA,1680224362
290,baykit,61.67,96.37,254.16,97,98,1.51,RU,1680224295
